CardNumber;Titel;Maintext;Warning;Media;SwitchOn;SelectedCard
1;Arbeitseinweisung Deckel Maho DMC 50H;Schalten Sie den Luftdruck ein. Hierzu muss der Luftdruckhahn hinter der Fräsmaschine aufgedreht werden. ;Wichtig: Ausgangszustand wie in Dokument „Vorbereitung und Einrichtung“ beschrieben, herstellen.;1.jpg;0;none
2;Arbeitseinweisung Deckel Maho DMC 50H;Schalten Sie den Hauptschalter ein.;Wichtig: Warten Sie ab bis die Maschine vollständig hochgefahren ist. Beachten Sie das Display. Die Tür muss zudem geschlossen sein.;none;0;none
3;Arbeitseinweisung Deckel Maho DMC 50H;Als nächstes fahren Sie die Hydraulik hoch.;Achtung: Die Taste muss leuchten!;none;0;none
4;Arbeitseinweisung Deckel Maho DMC 50H;Ansonsten drücken Sie diese Tasten in der angegebenen Reihenfolge.;Achtung: ggfs. muss die Tastenkombination nach kurzer Pause wiederholt werden.;none;0;none
5;Arbeitseinweisung Deckel Maho DMC 50H;Referenzieren.;none;none;0;none
6;Arbeitseinweisung Deckel Maho DMC 50H;Vorschub ein.;none;none;0;none
7;Arbeitseinweisung Deckel Maho DMC 50H;Cycle Start. ;ACHTUNG: Nun verfährt die Maschine alle Achsen sehr langsam, bis sie ihre Referenzmarken gefunden hat.;none;0;none
8;Arbeitseinweisung Deckel Maho DMC 50H;Optional: Tür öffnen.;none;none;0;none
9;Arbeitseinweisung Deckel Maho DMC 50H;Schalten Sie die Handfunktion ein. ;Beide Türen müssen dabei geschlossen sein.;none;0;none
10;Arbeitseinweisung Deckel Maho DMC 50H;Wählen Sie Palettenwechsel aus. ;„Ref- Point“ darf dabei nicht eingeschaltet sein.;none;0;none
11;Arbeitseinweisung Deckel Maho DMC 50H;Zum vorwärts drehen; drücken Sie die lila Taste. 1. Der Vorschub muss eingeschaltet (Feed Start) und 2. auf > 0% gestellt sein. 3. Die Lila Taste erst Loslassen, wenn die Endposition erreicht ist. ;none;0;none
12;Arbeitseinweisung Deckel Maho DMC 50H;Über „Maschine“ gelangen Sie wieder ins Hauptmenü.;none;none;0;none
13;Arbeitseinweisung Deckel Maho DMC 50H;Führen Sie den Werkstückwechsel an der linken Tür durch.;none;none;0;none
14;Arbeitseinweisung Deckel Maho DMC 50H;Als nächstes entriegeln Sie den Turm zum Drehen mit dem Fußpedal und drehen manuell die gewünschte Seite nach vorne. ;Der Turm rastet immer alle 90° wieder ein.;none;0;none
15;Arbeitseinweisung Deckel Maho DMC 50H;Drehmomentschlüssel auf 40 Nm eingestellen (obere Skala).;Hinweis: Wenn es nicht der Fall ist, laut Abbildung einstellen.;none;0;none
16;Arbeitseinweisung Deckel Maho DMC 50H;Entnehmen Sie die Teile: Mit Drehmomentenschlüssel öffnen. ;Bitte beide Teile mit einer Hand festhalten, sodass sie nicht herunterfallen.;none;0;none
17;Arbeitseinweisung Deckel Maho DMC 50H;Legen Sie neue Rohlinge ein und schieben bis an den rechten Anschlag.;none;none;0;none
18;Arbeitseinweisung Deckel Maho DMC 50H;Mit dem eingestelltem Drehmomentenschlüssel richtig festziehen; dann den Turm drehen und die einseitig bearbeiteten Teile, wie abgebildet einsetzen. Die Teile passen falsch nicht rein.;none;0;none
19;Arbeitseinweisung Deckel Maho DMC 50H;Die einseitig bearbeiteten Teile; wie gezeigt mit einem Hammer festigen.;none;0;none
20;Arbeitseinweisung Deckel Maho DMC 50H;Das „V“ muss am Schluss nach vorne zeigen; drehen Sie hierzu den Turm entsprechend. Schließen Sie die Tür im Anschluss.;none;0;none
21;Arbeitseinweisung Deckel Maho DMC 50H;Wählen Sie „Automatik“ aus.;none;none;0;none
